Team,Team_colour
Russia,red
Saudi Arabia,darkseagreen1
Egypt,firebrick3
Uruguay,steelblue1
Portugal,orangered3
Spain,red1
Morocco,firebrick
Iran,gray96
France,darkblue
Australia,tan2
Peru,gray93
Denmark,red2
Argentina,lightblue
Iceland,blue
Croatia,coral1
Nigeria,lightgreen
Brazil,darkgoldenrod1
Switzerland,red3
Costa Rica,orangered2
Serbia,coral2
Germany,gray85
Mexico,darkgreen
Sweden,yellow
South Korea,orangered1
Belgium,tomato2
Panama,orangered
Tunisia,gray90
England,white
Poland,gray87
Senegal,gray99
Colombia,gold
Japan,navy
